esperanto,kanji,priority,source_root,source_line
lamn,鱼ᴸᴹ,0,lamn,1458
lampetr,鱼ᴸᴾ,0,lampetr,1490
latimeri,鱼ᴸᵀ,0,latimeri,1496
leptocefal,鱼ᴸᶜ,0,leptocefal,1503
mugil,鱼ᴹᴳ,0,mugil,1445
miksin,鱼ᴹᴷ,0,miksin,1477
mola,鱼ᴹᴸ,0,mola,1453
molv,鱼ᴹⱽ,0,molv,1459
nemakejl,鱼ᴺᴹ,0,nemakejl,1497
prist,鱼ᴾˢ,0,prist,1470
pagel,鱼ᴾᴳ,0,pagel,1469
piranj,鱼ᴾᴺ,0,piranj,1481
petromiz,鱼ᴾᵀ,0,petromiz,1450
remor,鱼ᴿᴹ,0,remor,1471
rutel,鱼ᴿᵀ,0,rutel,1472
turbot,鱼ᵀᴮ,0,turbot,1484
trakin,鱼ᵀᴷ,0,trakin,1483
timal,鱼ᵀᴹ,0,timal,1473
trigl,鱼ᵀᴿ,0,trigl,1461
ĉot,鱼ᶜ̂,0,c^ot,1442
foksen,鱼ᶠᴷ,0,foksen,1479
zoarc,鱼ᶻᴿ,0,zoarc,1474
saksikol,鸟ˢˢ,0,saksikol,1059
ŝtern,鸟ˢ̂,0,s^tern,1013
streptopeli,鸟ˢᴱ,0,streptopeli,1071
sit,鸟ˢᴵ,0,sit,978
sterkorari,鸟ˢᴷ,0,sterkorari,1068
sul,鸟ˢᴸ,0,sul,982
somateri,鸟ˢᴹ,0,somateri,1060
serpentari,鸟ˢᴺ,0,serpentari,1067
sirapt,鸟ˢᴾ,0,sirapt,1032
serin,鸟ˢᴿ,0,serin,1012
sturn,鸟ˢᵀ,0,sturn,972
agami,鸟ᴬᴳ,0,agami,998
alced,鸟ᴬᴸ,0,alced,995
apterig,鸟ᴬᴾ,0,apterig,1036
alektor,鸟ᴬᴿ,0,alektor,1037
avocet,鸟ᴬⱽ,0,avocet,1017
bobolink,鸟ᴮᴮ,0,bobolink,1053
bombicil,鸟ᴮᴹ,0,bombicil,1054
bantam,鸟ᴮᴺ,0,bantam,1018
bernikl,鸟ᴮᴿ,0,bernikl,1038
bucer,鸟ᴮᶜ,0,bucer,999
bufag,鸟ᴮᶠ,0,bufag,997
bonazi,鸟ᴮᶻ,0,bonazi,1019
diomede,鸟ᴰᴹ,0,diomede,1040
dromice,鸟ᴰᴿ,0,dromice,1041
galinag,鸟ᴳᴺ,0,galinag,1043
gip,鸟ᴳᴾ,0,gip,981
himantopod,鸟ᴴᴰ,0,himantopod,1069
haliaet,鸟ᴴᴸ,0,haliaet,1044
hematop,鸟ᴴᴹ,0,hematop,1045
himantop,鸟ᴴᴺ,0,himantop,1055
jabiru,鸟ᴶᴮ,0,jabiru,1023
kreks,鸟ᴷˢ,0,kreks,1004
katart,鸟ᴷᴬ,0,katart,1015
karduel,鸟ᴷᴰ,0,karduel,1046
karadri,鸟ᴷᴵ,0,karadri,1035
kokotraŭst,鸟ᴷᴷ,0,kokotrau^st,1064
kalidr,鸟ᴷᴸ,0,kalidr,1025
kairin,鸟ᴷᴺ,0,kairin,1024
krek,鸟ᴷᴿ,0,krek,987
kiti,鸟ᴷᵀ,0,kiti,986
kuruk,鸟ᴷᵁ,0,kuruk,1005
koraci,鸟ᴷᶜ,0,koraci,1016
kvecal,鸟ᴷⱽ,0,kvecal,1026
lagopod,鸟ᴸᴰ,0,lagopod,1052
lagop,鸟ᴸᴳ,0,lagop,1006
lokustel,鸟ᴸᴷ,0,lokustel,1056
limoz,鸟ᴸᴹ,0,limoz,1007
lori,鸟ᴸᴿ,0,lori,989
litorn,鸟ᴸᵀ,0,litorn,1027
melopsitak,鸟ᴹᴸ,0,melopsitak,1065
merĝ,鸟ᴹᴿ,0,merg^,990
motacil,鸟ᴹᵀ,0,motacil,977
nikte,鸟ᴺᴷ,0,nikte,1009
numeni,鸟ᴺᴹ,0,numeni,1028
nucifrag,鸟ᴺᶜ,0,nucifrag,1057
neofron,鸟ᴺᶠ,0,neofron,1047
oriol,鸟ᴼᴸ,0,oriol,971
perisore,鸟ᴾˢ,0,perisore,1058
platale,鸟ᴾᴬ,0,platale,1049
perdrik,鸟ᴾᴰ,0,perdrik,975
pterokl,鸟ᴾᴱ,0,pterokl,1051
pirokorak,鸟ᴾᴵ,0,pirokorak,1062
pinikol,鸟ᴾᴷ,0,pinikol,1048
pelikan,鸟ᴾᴸ,0,pelikan,974
pronel,鸟ᴾᴺ,0,pronel,1030
porfiri,鸟ᴾᴼ,0,porfiri,1050
pipi,鸟ᴾᴾ,0,pipi,991
pirul,鸟ᴾᴿ,0,pirul,1010
petrel,鸟ᴾᵀ,0,petrel,1029
ploce,鸟ᴾᶜ,0,ploce,996
pufin,鸟ᴾᶠ,0,pufin,1011
pluvi,鸟ᴾⱽ,0,pluvi,992
tadorn,鸟ᵀᴰ,0,tadorn,1033
tangar,鸟ᵀᴳ,0,tangar,1034
tinunkol,鸟ᵀᴷ,0,tinunkol,1061
tinam,鸟ᵀᴺ,0,tinam,993
tring,鸟ᵀᴿ,0,tring,1014
tetraon,鸟ᵀᵀ,0,tetraon,976
uri,鸟ᵁᴿ,0,uri,983
ĉeti,鸟ᶜ̂,0,c^eti,984
cinkl,鸟ᶜᴺ,0,cinkl,994
certi,鸟ᶜᴿ,0,certi,1000
cirkaet,鸟ᶜᵀ,0,cirkaet,1039
