difeomorfi,微分同胚ᴰᴵ
sezel,伞ˢᶻ
angelik,伞ᴬᴳ
ami,伞ᴬᴹ
antrisk,伞ᴬᴿ
kritm,伞ᴷᵀ
pimpinel,伞ᴾᴹ
umbelifer,伞ᵁᶠ
pseŭd,伪ᴾˢ
postiĉ,伪ᴾᵀ
kompani,伴ᴷᴹ
kompan,伴ᴷᴼ
kamarad,伴ᴷᴿ
ekstens,伸ᴱᴷ
som,体ˢᴹ
somat,体ˢᵀ
rezidu,余ᴿᶻ
buda,佛ᴮᴬ
apostol,使ᴬᴾ
ambasador,使ᴬᴿ
konfid,信ᴷᴺ
alize,信风ᴬ
pasat,信风ᴾ
tak,倾ᵀᴷ
fint,假ᶠᴺ
karis,假虎刺
deviaci,偏ᴰᶜ
paranoj,偏执ᴾ
stop,停ˢᵀ
salubr,健ˢᴸ
aleator,偶ᴬᴸ
pup,偶ᴾᴾ
hipnototerapi,催眠疗
arogant,傲ᴬᴺ
monak,僧ᴹᴷ
vokoid,元ⱽᴰ
fotokemi,光化学
fototerapi,光疗ᶠ
konkir,克ᴷᴵ
panteist,全神家
okta,八ᴼᵀ
public,公ᴾᶜ
heksa,六ᴴᴬ
sekstant,六分仪
epipaktid,兰ᴱᴾ
koraloriz,兰ᴷᴿ
orkide,兰ᴼᴱ
oncidi,兰ᴼᴺ
ofri,兰ᴼᶠ
cipripedi,兰ᶜᴾ
komun,共ᴷᴹ
sinonimik,共名学
sinkronoskop,共时镜
framason,共济会
kodeks,典ᴷᴰ
smilodont,兽ˢᴹ
agvara,兽ᴬᴳ
alcelaf,兽ᴬᴸ
armadel,兽ᴬᴿ
blastocer,兽ᴮˢ
besti,兽ᴮᴵ
boselaf,兽ᴮᴸ
desmod,兽ᴰˢ
dendrolag,兽ᴰᴰ
dugong,兽ᴰᴳ
dazipod,兽ᴰᶻ
ekidn,兽ᴱᴰ
gvemul,兽ᴳᴹ
gvanak,兽ᴳⱽ
ĥironekt,兽ᴴ̂
haliker,兽ᴴᴸ
herpest,兽ᴴᴿ
korsak,兽ᴷˢ
koendu,兽ᴷᴰ
kaguang,兽ᴷᴳ
karibu,兽ᴷᴿ
kironekt,兽ᴷᵀ
ljam,兽ᴸᴶ
lutreol,兽ᴸᴸ
megateri,兽ᴹᴳ
monodelf,兽ᴹᴺ
marmoz,兽ᴹᴿ
martes,兽ᴹᵀ
mazam,兽ᴹᶻ
orikteropod,兽ᴼᴰ
okapi,兽ᴼᴷ
orcin,兽ᴼᴿ
orikterop,兽ᴼᵀ
ocelot,兽ᴼᶜ
pipistrel,兽ᴾᴾ
procion,兽ᴾᴿ
pterop,兽ᴾᵀ
tragelaf,兽ᵀᴳ
tamandu,兽ᵀᴹ
unci,兽ᵁᶜ
falanger,兽ᶠᴸ
zibet,兽ᶻᴮ
zoologi,兽ᶻᴸ
valabi,兽ⱽᴸ
venad,兽ⱽᴺ
zoogeografi,兽地志
zoolog,兽学家
endo,内ᴱᴰ
imanent,内ᴵᴹ
intra,内ᴵᴿ
endokrin,内分泌
endokardit,内心炎
militarism,军主义
legionel,军团菌
agrikultur,农ᴬᴷ
krest,冠ᴷˢ
kalot,冠ᴷᴸ
koronari,冠ᴷᴿ
ĉampion,冠ᶜ̂
koronariit,冠炎ᴷ
glaciolog,冰学家
sprint,冲ˢᴺ
frigid,冷ᶠᴳ
kongel,冻ᴷᴺ
kriogenik,冻生学
dekrement,减ᴰᴷ
diminu,减ᴰᴹ
