difeomorfi,微分同胚ᴰᴵ
stegosaŭr,龙ˢᴳ
stelion,龙ˢᵀ
sfenodont,龙ˢᶠ
akonti,龙ᴬᴷ
apatosaŭr,龙ᴬᴾ
mozasaŭr,龙ᴹᶻ
pterodaktil,龙ᴾᴰ
pteranodont,龙ᴾᵀ
agav,龙舌兰
dracen,龙血树
ĥeloni,龟ᴴ̂
karet,龟ᴷᴿ
iĝ,成ᴵᴳ
leandr,虾ᴸᴱ
monofizit,一性
januar,一月
unitari,一神
siring,丁香
hepta,七ᴴ
juli,七月
kardan,万向
hura,万岁
miriametr,万米
miriapod,万足
trisom,三体
mart,三月
trinitr,三硝
trigonometri,三角
superpozici,上位
kolonel,上校
epiteli,上皮
apelaci,上诉
senat,上院
menton,下巴
katafor,下指
ahims,不害
steril,不育
disonanc,不谐
nelg,不长
malgraŭ,不顾
arleken,丑ᴬ
bufon,丑ᴮ
histrion,丑ᴴ
klaŭn,丑ᴷ
pajac,丑ᴾ
despot,专制
komisar,专员
talam,丘脑
makis,丛ᴹ
vepr,丛ⱽ
orientologi,东学
orientalist,东家
faden,丝ᶠ
filari,丝虫
hermafrodit,两性
amfibi,两栖
aŭster,严ᴬ
drakon,严ᴰ
rigor,严ᴿ
individualist,个家
neŭtral,中ᴺ
mezocefal,中头
mezon,中子
mezoderm,中皮
mesenter,中肠
ald,中音
tandem,串联
krit,临界
testik,丸ᵀ
testikit,丸炎
erizipel,丹毒
subjekt,主ˢ
nominativ,主ᴺ
prezid,主ᴾ
tonik,主ᵀ
ism,主义
episkop,主教
prepost,主祭
aort,主脉
kondut,举ᴷ
levator,举具
deont,义ᴰ
deontologi,义学
niel,乌银
sangvin,乐ˢ
hedon,乐ᴴ
orkestr,乐ᴼ
plezur,乐ᴾ
hedonist,乐家
moviment,乐章
meloman,乐迷
multiplik,乘ᴹ
etoksi,乙氧
septembr,九月
nek,也不
skrib,书ˢ
uncial,书体
kaligraf,书法
pelmel,乱ᴾ
turbul,乱ᵀ
incest,乱伦
emulsi,乳ᴱ
mam,乳ᴹ
cic,乳ᶜ
mamografi,乳志
mamalgi,乳痛
stalaktit,乳石
mastoid,乳突
laktoz,乳糖
mamektomi,乳除
oliban,乳香
afer,事ᴬ
event,事ᴱ
fakt,事ᶠ
divalent,二价
disom,二体
diploid,二倍
digram,二字
dut,二度
dimorf,二形
februar,二月
diazot,二氮
ditionat,二硫
dipter,二翅
dikro,二色
dipod,二足
binar,二进
bigami,二配
duet,二重
bimetal,二金
binom,二项
bident,二齿
pice,云杉
glim,云母
nefometr,云计
nefoskop,云镜
mutual,互ᴹ
taŭtomer,互变
penta,五ᴾ
pentagram,五图
maj,五月
pentametr,五米
pentagon,五角
hipotensi,亚压
hiponim,亚名
hipocentr,亚央
hipoestez,亚感
hipostaz,亚滞
hipocikl,亚环
metilen,亚甲
hipoderm,亚皮
hipogastr,亚胃
hipoglos,亚舌
hipotez,亚题
lin,亚麻
diplomat,交ᴰ
koit,交ᴷ
simfoni,交响
simpat,交感
kopul,交配
akuŝ,产ᴬ
puerper,产后
akuŝologi,产学
obstetrik,产科
sibarit,享乐
bril,亮ᴮ
leŭcin,亮ᴸ
simpati,亲ˢ
intim,亲ᴵ
parenc,亲ᴾ
antrop,人ᴬ
oni,人ᴼ
person,人ᴾ
antropoid,人似
antropofag,人吞
antropocentr,人央
antropologi,人学
antropomorf,人形
antropometri,人测
ostaĝ,人质
pralin,仁糖
permitiv,介电
deoksi,从氧
deflor,从花
sil,仓ˢ
hamstr,仓鼠
altru,他ᴬ
ili,他们
altruist,他家
heteronomi,他律
surogat,代ˢ
era,代ᴱ
generaci,代ᴳ
pronom,代ᴾ
algebr,代数
metabol,代谢
edikt,令ᴱ
imperativ,令ᴵ
komand,令ᴷ
ukaz,令ᵁ
komandit,令受
kurz,价ᴷ
tarif,价ᵀ
valent,价ⱽ
ajn,任ᴬ
investitur,任ᴵ
porci,份ᴾ
mim,仿ᴹ
pastiĉ,仿ᴾ
pingven,企鹅
elit,优ᴱ
optimum,优ᴼ
eŭgenik,优生
sesi,会ˢ
asemble,会ᴬ
miting,会ᴹ
kanonik,会士
sium,伞ˢ
anet,伞ᴬ
bupleŭr,伞ᴮ
daŭk,伞ᴰ
etuz,伞ᴱ
hidrokotil,伞ᴴ
karum,伞ᴷ
levistik,伞ᴸ
paraŝut,伞ᴾ
tapsi,伞ᵀ
umbel,伞ᵁ
ferolag,伞ᶠ
legend,传ᴸ
propagand,传ᴾ
transmisi,传ᵀ
faks,传真
lez,伤ᴸ
apokrif,伪ᴬ
kamufl,伪ᴷ
pseŭdo,伪ᴾ
pseŭdonim,伪名
hipokrit,伪善
pseŭdomorf,伪形
pseŭdoartr,伪节
pseŭdopod,伪足
akompan,伴ᴬ
partner,伴ᴾ
analog,似ᴬ
oid,似ᴼ
apozici,位ᴬ
bit,位ᴮ
lokaliz,位ᴸ
pozici,位ᴾ
homotet,位似
depresi,低ᴰ
bordun,低音
dekolt,低领
domicil,住所
sport,体ˢ
fart,体ᶠ
propriocept,体感
celom,体腔
somatogami,体配
kia,何a
kie,何e
kio,何o
kiu,何u
kies,何之
kial,何因
kiam,何时
kiel,何样
kiom,何量
sald,余ˢ
ceter,余ᶜ
pagod,佛塔
aŭtor,作ᴬ
operac,作战
ambasad,使ᴬ
legat,使ᴸ
misi,使ᴹ
nunci,使ᴺ
kaz,例ᴷ
stevard,侍ˢ
grum,侍ᴳ
paĝi,侍ᴾ
ĉambelan,侍臣
liver,供ᴸ
proviz,供ᴾ
rekognosk,侦ᴿ
tempi,侧头
insult,侮ᴵ
markiz,侯ᴹ
konstip,便秘
negliĝ,便袍
forc,促ᶠ
sekular,俗ˢ
banal,俗ᴮ
kiĉ,俗ᴷ
laik,俗ᴸ
profan,俗ᴾ
filistr,俗ᶠ
vulgar,俗ⱽ
slang,俗语
garanti,保ᴳ
kaŭci,保ᴷ
patron,保ᴾ
polis,保单
epistol,信ᴱ
leter,信ᴸ
mesaĝ,信ᴹ
cirkuler,信ᶜ
fid,信ᶠ
akredit,信任
kurier,信使
fideikomis,信委
fuz,信管
trad,信风
orden,修会
pedikur,修脚
retorik,修辞
klostr,修院
epitet,修饰
ploid,倍ᴾ
anastrof,倒ᴬ
inversi,倒ᴵ
pretekst,借口
merit,值ᴹ
valor,值ⱽ
inklin,倾ᴵ
tendenc,倾ᵀ
dekant,倾析
peruk,假发
jodl,假声
ĵos,假植
prud,假正
protez,假肢
bias,偏ᴮ
ekart,偏ᴱ
jor,偏ᴶ
ekscentrik,偏心
bigot,偏执
suspend,停ˢ
kape,停ᴷ
armistic,停战
akcidenc,偶ᴬ
eventual,偶ᴱ
hazard,偶ᴴ
kontingenc,偶ᴷ
marionet,偶ᴹ
idol,偶像
klepto,偷ᴷ
marod,偷ᴹ
kleptomani,偷狂
solvent,偿ˢ
amortiz,偿ᴬ
ristorn,偿ᴿ
stok,储ˢ
afrodizi,催情
hipnot,催眠
orgojl,傲ᴼ
statu,像ˢ
bonz,僧ᴮ
cenobit,僧ᶜ
muskardin,僵病
pediatr,儿医
kateĉu,儿茶
megom,兆ᴹ
megommetr,兆计
precedenc,先例
profet,先知
fotosintez,光合
diafragm,光圈
foton,光子
optik,光学
fotometri,光测
aŭreol,光环
fotosfer,光球
lumterapi,光疗
fotoĉel,光胞
fotometr,光计
konker,克ᴷ
imunologi,免学
kunikl,兔ᴷ
lagoftalm,兔眼
ĉia,全a
ĉie,全e
ĉio,全o
ĉiu,全u
holo,全ᴴ
komplet,全ᴷ
ĉies,全之
ĉial,全因
hologram,全图
holocefal,全头
holomorf,全形
holografi,全志
ĉiam,全时
ĉiel,全样
pankromat,全色
holograf,全记
ĉiom,全量
holoedr,全面
oktant,八分
oktav,八度
aŭgust,八月
oktaedr,八面
just,公ᴶ
plebiscit,公投
duk,公爵
aksiom,公理
notari,公证
hektar,公顷
heks,六ᴴ
juni,六月
heksaklor,六氯
heksametr,六米
heksagon,六角
heksaedr,六面
spirantes,兰ˢ
angrek,兰ᴬ
bleti,兰ᴮ
epidendr,兰ᴱ
katlej,兰ᴷ
cimbidi,兰ᶜ
falenops,兰ᶠ
vanda,兰ⱽ
orkidit,兰炎
orkidoterapi,兰疗
orkidektomi,兰除
sinonim,共名
respublik,共和
mezomer,共振
sinkron,共时
simbioz,共生
resonanc,共鸣
dogan,关ᴰ
ator,具ᴬ
konkret,具ᴷ
mebl,具ᴹ
enciklopedi,典ᴱ
bred,养ᴮ
trofi,养ᵀ
vart,养ⱽ
pensi,养老
aliment,养费
serval,兽ˢ
animal,兽ᴬ
ding,兽ᴰ
ekv,兽ᴱ
gaŭr,兽ᴳ
hin,兽ᴴ
izatis,兽ᴵ
kiang,兽ᴷ
lutr,兽ᴸ
mirmekofag,兽ᴹ
nazu,兽ᴺ
otari,兽ᴼ
pudu,兽ᴾ
teri,兽ᵀ
unaŭ,兽ᵁ
civetikt,兽ᶜ
focen,兽ᶠ
zo,兽ᶻ
viver,兽ⱽ
veterinar,兽医
zoomorf,兽形
zoofit,兽植
faŭn,兽相
intern,内ᴵ
introvertit,内向
pale,内壳
endomorfi,内形
endokard,内心
endoplasm,内浆
endosmoz,内渗
endoterm,内热
endogen,内生
endoderm,内皮
introspekt,内省
endosperm,内种
konkub,内缘
endogami,内配
endoskop,内镜
album,册ᴬ
broŝur,册ᴮ
ekzempler,册ᴱ
prospekt,册ᴾ
volum,册ⱽ
bis,再ᴮ
renom,再名
recit,再引
regeneraci,再生
adiaŭ,再见
retuŝ,再触
redund,冗ᴿ
militar,军ᴹ
parlamentari,军使
korpus,军团
serĝent,军士
oficir,军官
militarist,军家
kep,军帽
furier,军需
agronom,农学
kolĥoz,农社
pesticid,农药
diadem,冠ᴰ
mitr,冠ᴹ
tiar,冠ᵀ
mitrit,冠炎
egret,冠羽
kraks,冠鸡
ileks,冬青
glaciologi,冰学
glaĉer,冰川
spurt,冲ˢ
elan,冲ᴱ
konflikt,冲ᴷ
ŝtanc,冲压
surf,冲浪
impulsometr,冲计
rezoluci,决ᴿ
duel,决斗
sena,决明
cirkonstanc,况ᶜ
metalurgi,冶金
algid,冷ᴬ
frid,冷ᶠ
fridoterapi,冷疗
cinik,冷笑
kriostat,冻态
kriometri,冻测
krioterapi,冻疗
krioskopi,冻镜
akurat,准ᴬ
adjudant,准尉
kolimat,准直
subtrah,减ˢ
diskont,减ᴰ
redukt,减ᴿ
mejoz,减分
kondensator,凝具
napalm,凝油
tof,凝灰
ĝel,凝胶
taburet,凳ᵀ
bos,凸ᴮ
galb,凸ᴳ
konveks,凸ᴷ
protrud,凸ᴾ
tenon,凸ᵀ
ekzoftalmi,凸眼
oriel,凸窗
kam,凸轮
intajl,凹雕
hemoragi,出血
nokaŭt,击倒
skerm,击剑
ĉan,击锤
jatagan,刀ᴶ
cimitar,刀ᶜ
divid,分ᴰ
ekvinoks,分ᴱ
groŝ,分ᴳ
minut,分ᴹ
frakci,分ᶠ
decigram,分克
minutator,分具
defil,分列
decilitr,分升
frakt,分形
denominator,分母
ŝunt,分流
tetrark,分王
decimetr,分米
taksonom,分类
skizoid,分裂
katabol,分解
particip,分词
dierez,分音
dividend,分须
sekc,切ˢ
amput,切ᴬ
inciz,切ᴵ
sinkop,切分
magazin,刊ᴹ
linĉ,刑ᴸ
strek,划ˢ
haĉ,划ᴴ
rem,划ᴿ
skarifikator,划具
demarkaci,划界
seri,列ˢ
procesi,列ᴾ
invent,创ᴵ
traŭmat,创ᵀ
traŭmatologi,创学
novic,初ᴺ
rudiment,初ᴿ
kalend,初一
kolostr,初乳
kondamn,判ᴷ
verdikt,判ⱽ
jurisprudenc,判例
rabotator,刨具
interez,利ᴵ
profit,利ᴾ
rugin,刮ᴿ
skrapator,刮具
kuret,刮匙
uniform,制服
sankci,制裁
tan,制革
strigl,刷ˢ
bil,券ᴮ
talon,券ᵀ
spron,刺ˢ
dorn,刺ᴰ
lancin,刺ᴸ
bajonet,刺刀
akantocefal,刺头
notakant,刺背
knid,刺胞
kard,刺草
gasteroste,刺鱼
gravur,刻ᴳ
noĉ,刻ᴺ
facet,刻面
barbir,剃ᴮ
tonsur,剃ᵀ
pre,前ᴾ
front,前ᶠ
avangard,前卫
prelud,前奏
premis,前提
provirus,前毒
profaz,前相
prolog,前话
spad,剑ˢ
rapir,剑ᴿ
skeĉ,剧ˢ
dram,剧ᴰ
komedi,剧ᴷ
melodram,剧ᴹ
fars,剧ᶠ
dramaturg,剧作
stuc,剪ˢ
siluet,剪影
adjutant,副官
duplikat,副本
refren,副歌
vikari,副祭
cirkumcid,割礼
dinamik,力ᴰ
dinamometr,力计
pitiat,劝愈
entrepren,办ᴱ
proced,办ᴾ
kancelari,办公
agend,办须
adici,加ᴬ
kolazion,加餐
obligaci,务ᴼ
task,务ᵀ
kakografi,劣志
aŭtomat,动ᴬ
kinet,动ᴷ
verb,动ⱽ
mobiliz,动化
kinezoterapi,动疗
kinezopati,动病
adjunkt,助ᴬ
stipendi,助学
diakon,助祭
snob,势利
brav,勇ᴮ
string,勒ˢ
kvest,募ᴷ
asidu,勤ᴬ
bulk,包ᴮ
tek,包ᵀ
prepuci,包皮
hidatid,包虫
stilet,匕ˢ
kemi,化学
fosili,化石
avatar,化身
distrikt,区ᴰ
kvartal,区ᴷ
hospital,医ᴴ
medicin,医ᴹ
dodeka,十二
miliard,十亿
dekagram,十克
dekalitr,十升
kruc,十字
dekalog,十戒
oktobr,十月
dekametr,十米
dekapod,十足
kilometr,千ᴷ
kilobit,千位
kilogram,千克
kilolitr,千升
mileni,千年
kilocikl,千环
kilovat,千瓦
kilopod,千足
dies,升ᴰ
his,升ᴴ
promoci,升ᴾ
aĝi,升水
siest,午睡
semi,半ˢ
radius,半径
hemisfer,半球
hemiplegi,半瘫
hemianopsi,半盲
hemipter,半翅
hemikrani,半颅
trivial,卑ᵀ
apopleksi,卒中
singular,单ˢ
fraŭl,单ᶠ
unit,单位
monosom,单体
monoplan,单划
monotip,单型
monogram,单字
monist,单家
monomorfi,单形
monografi,单志
monoklin,单斜
monokristal,单晶
rek,单杠
monomani,单狂
monopetal,单瓣
ocel,单眼
monolit,单石
monokromat,单色
monolog,单话
monoton,单调
monogami,单配
antarkt,南ᴬ
erudici,博ᴱ
filantropi,博爱
aŭgur,占ᴬ
okupaci,占领
slip,卡ˢ
kartografi,卡志
kartograf,卡记
astaten,卤ᴬ
brom,卤ᴮ
bromid,卤化
bromoform,卤形
sanitar,卫ˢ
higien,卫ᴴ
mortez,卯眼
stamp,印ˢ
impres,印ᴵ
mime,印ᴹ
mimeograf,印记
impresion,印象
kriz,危ᴷ
ekstemporal,即ᴱ
improviz,即兴
tujon,即分
tujan,即员
kojon,卵ᴷ
ovari,卵巢
ovogoni,卵源
salping,卵管
ovocit,卵胞
bukl,卷ᴮ
rul,卷ᴿ
cirus,卷ᶜ
friz,卷ᶠ
ĉir,卷须
uzin,厂ᵁ
salon,厅ˢ
atri,厅ᴬ
vestibl,厅ⱽ
almanak,历书
katiz,压ᴷ
markot,压ᴹ
tensi,压ᵀ
kalandr,压光
stres,压力
tensimetri,压测
balast,压舱
gofr,压花
manometr,压计
barograf,压记
baroskop,压镜
abomen,厌ᴬ
hat,厌ᴴ
mizantrop,厌人
mizogin,厌女
klozet,厕ᴷ
centigram,厘克
centilitr,厘升
centigrad,厘度
krasul,厚叶
original,原ᴼ
aŭtokton,原住
protozo,原兽
prototip,原型
primordi,原基
prokariot,原核
naft,原油
protoplasm,原浆
ur,原牛
protopter,原翅
kupe,厢ᴷ
kastr,去势
referenc,参ᴿ
bifid,叉ᴮ
dikotom,叉ᴰ
harpun,叉ᴴ
dual,双ᴰ
ĝemel,双胎
diplokok,双菌
diplopod,双足
baktri,双驼
ironi,反ᴵ
kontra,反ᴷ
opon,反ᴼ
antonim,反名
reflekt,反射
reakci,反应
regurgit,反流
diamagnet,反磁
emisi,发ᴱ
oestr,发情
servir,发球
dinam,发电
puber,发育
artikulaci,发音
akcept,受ᴬ
kalvari,受难
krement,变ᴷ
transmutaci,变ᵀ
vari,变ⱽ
konjugaci,变位
variant,变在
variaci,变奏
anamorfoz,变形
zom,变焦
variometr,变计
apostat,叛ᴬ
insurekci,叛ᴵ
perfid,叛ᴾ
stomat,口ˢ
luk,口ᴸ
faŭk,口ᶠ
stomatologi,口学
bav,口水
stomatit,口炎
stomatoskop,口镜
palat,口顶
muzel,口鼻
paleo,古ᴾ
arĥeologi,古学
paleografi,古志
paleozoik,古生
arkeopterig,古翅
paleograf,古记
propozici,句ᴾ
vers,句ⱽ
frazeologi,句学
sintaks,句法
stand,台ˢ
bufed,台ᴮ
konzol,台ᴷ
teras,台ᵀ
bilard,台球
vajc,台钳
anal,史ᴬ
historiografi,史志
historiograf,史记
epope,史诗
tribord,右边
lob,叶ᴸ
petiol,叶柄
klorofil,叶绿
signal,号ˢ
numerator,号具
fanfar,号角
sintez,合ˢ
ĥor,合唱
zigot,合子
anabol,合成
aloj,合金
suspensori,吊带
ĵartel,吊袜
asimil,同ᴬ
homo,同ᴴ
ident,同ᴵ
unison,同ᵁ
homotop,同伦
homonim,同名
homofon,同声
homologi,同学
homomorf,同形
gej,同性
simultan,同时
homogen,同生
homopter,同翅
homokromi,同色
komplic,同谋
substantiv,名ˢ
onim,名ᴼ
reputaci,名ᴿ
fam,名ᶠ
aposterior,后ᴬ
loĝistik,后勤
arier,后卫
absid,后殿
metazo,后生
okcipit,后脑
epilog,后话
sput,吐ˢ
kraĉ,吐ᴷ
ipek,吐根
centripet,向心
sinklinal,向斜
monark,君主
ingest,吞ᴵ
faĝ,吞ᶠ
fagocit,吞胞
dement,否ᴰ
veto,否ⱽ
pastel,含片
mimoz,含羞
aŭdometr,听计
revelaci,启ᴿ
absorb,吸ᴬ
inhal,吸ᴵ
anastomoz,吻合
ror,吼ᴿ
aviz,告ᴬ
herold,告ᴴ
an,员ᴬ
komiz,员ᴷ
periferi,周边
sapor,味ˢ
fatal,命ᶠ
vital,命ⱽ
nomenklatur,命名
akord,和ᴬ
kaj,和ᴷ
konkord,和合
pacifist,和家
kimon,和服
kantik,咏ᴷ
psalm,咏ᴾ
damn,咒ᴰ
envult,咒ᴱ
kver,咕ᴷ
lisp,咬舌
psok,咬虫
trogon,咬鹃
ekspektor,咳痰
angin,咽炎
faringoskop,咽镜
lament,哀ᴸ
ve,哀ⱽ
sortiment,品类
ranc,哈喇
bac,响ᴮ
klak,响ᴷ
laŭt,响ᴸ
pantomim,哑剧
halter,哑铃
grunt,哼ᴳ
solfeĝ,唱名
sialogen,唾生
peg,啄木
negoc,商ᴺ
firma,商ᶠ
karak,商舶
rasl,啰音
kokerik,啼ᴷ
laring,喉ᴸ
laringotomi,喉切
laringologi,喉学
laringit,喉炎
laringoskopi,喉镜
stertor,喘ˢ
dispne,喘ᴰ
jubil,喜ᴶ
erupci,喷ᴱ
jet,喷ᴶ
tern,喷ᵀ
ajut,喷嘴
fontan,喷泉
metafor,喻ᴹ
snuf,嗅ˢ
olfakt,嗅ᴼ
letargi,嗜睡
kodicil,嘱ᴷ
sibl,嘶ˢ
aparat,器ᴬ
instrument,器ᴵ
organ,器ᴼ
vaz,器ⱽ
organizaci,器化
kakofoni,噪ᴷ
ulul,嚎ᵁ
ask,囊ᴬ
burs,囊ᴮ
kapsul,囊ᴷ
utrikl,囊ᵁ
folikl,囊ᶠ
divertikul,囊室
bursit,囊炎
kist,囊肿
askomicet,囊菌
tetragram,四字
april,四月
tetrationat,四硫
kvartet,四重
raŭnd,回合
askarid,回虫
eti,因ᴱ
kaŭz,因ᴷ
pro,因ᴾ
faktor,因ᶠ
etiologi,因学
solidar,团ˢ
agreg,团ᴬ
bul,团ᴮ
konglomer,团ᴷ
mas,团ᴹ
regiment,团ᴿ
trup,团ᵀ
akapar,囤ᴬ
park,园ᴾ
hortikultur,园艺
sieĝ,围ˢ
peri,围ᴾ
periglaci,围冰
perifraz,围句
perikard,围心
periheli,围日
perimetr,围测
perispirit,围灵
batu,围猎
pericikl,围环
perisperm,围种
periskop,围镜
periost,围骨
sterol,固醇
regn,国ᴿ
fisk,国库
skem,图ˢ
grafik,图ᴳ
ilustr,图ᴵ
mapotek,图包
gramofon,图声
cirkl,圆ᶜ
ŝtip,圆木
cilindr,圆柱
vals,圆舞
strongil,圆虫
panikl,圆锥
kupol,圆顶
cirk,圈ᶜ
sabat,土ˢ
grundologi,土学
grundgenez,土源
indiĝen,土著
kaki,土黄
hagi,圣ᴴ
kanoniz,圣ᴷ
ikon,圣像
anglikan,圣公
sakristi,圣器
hagiografi,圣志
sakrament,圣礼
suna,圣行
hagiograf,圣记
jul,圣诞
komuni,圣餐
hosti,圣饼
ontogenez,在源
geo,地ᴳ
junkr,地主
geodinamik,地力
geocentr,地央
geologi,地学
topografi,地志
geoteknik,地技
geopolitik,地政
endemi,地方
geometri,地测
geoterm,地热
geosfer,地球
katastr,地籍
liken,地衣
geograf,地记
metro,地铁
talp,地鼠
agor,场ᴬ
plac,场ᴾ
agorafobi,场症
gangren,坏死
skorbut,坏血
koordinat,坐标
iskiat,坐神
iski,坐骨
grumel,块ᴳ
parcel,块ᴾ
insist,坚ᴵ
persist,坚ᴾ
tenac,坚ᵀ
avel,坚果
altar,坛ᴬ
eskarp,坡ᴱ
gradient,坡ᴳ
talus,坡ᵀ
rampl,坡道
apik,垂ᴬ
hipofiz,垂体
agoni,垂死
spam,垃圾
trust,垄断
muld,型ᴹ
tipologi,型学
tipografi,型志
tipometr,型计
tipograf,型记
krenel,垛ᴷ
matrac,垫ᴹ
kreml,城堡
fundament,基ᶠ
fondus,基金
parok,堂区
kompoŝt,堆肥
burg,堡ᴮ
fortres,堡垒
mole,堤ᴹ
obtur,堵ᴼ
obturator,堵具
modl,塑ᴹ
pilon,塔ᴾ
plosiv,塞ᴾ
stup,填ˢ
kalfatr,填ᴷ
rembur,填ᴿ
farĉ,填ᶠ
stuphar,填毛
eko,境ᴱ
mediologi,境学
katakomb,墓ᴷ
nekropol,墓ᴺ
kript,墓窖
koopt,增补
tuĉ,墨ᵀ
sepi,墨鱼
piedestal,墩ᴾ
pariet,壁ᴾ
niĉ,壁凹
tapet,壁纸
lacert,壁虎
licenci,士ᴸ
fonograf,声ᶠ
voĉ,声ⱽ
fonon,声子
fonogram,声字
fonologi,声学
fonometri,声测
sonmetr,声计
fonoskop,声镜
glot,声门
hul,壳ᴴ
krust,壳ᴷ
kruĉ,壶ᴷ
dispon,处ᴰ
lokomobil,处动
ekip,备ᴱ
memorand,备忘
anafor,复ᴬ
iteraci,复ᴵ
kopi,复ᴷ
paŭs,复ᴾ
faksimil,复ᶠ
renesanc,复兴
plural,复数
resurekt,复活
ekster,外ᴱ
heterodin,外差
ksenofob,外怕
ekstrapol,外推
ektoplasm,外浆
ekzoterm,外热
ekzogen,外生
ksenofobi,外症
ektoderm,外皮
kirurg,外科
ekzogami,外配
vulv,外阴
poli,多ᴾ
poliploid,多倍
kibic,多嘴
polifoni,多声
diurez,多尿
polimorf,多形
politeknik,多技
polinukle,多核
politrik,多毛
polipter,多翅
pleokro,多色
pletor,多血
poligon,多角
poliklinik,多诊
polipodi,多足
poligami,多配
poliedr,多面
nokturn,夜曲
najtingal,夜莺
kaprimulg,夜鹰
majuskl,大ᴹ
versal,大ⱽ
sizigi,大潮
fagot,大管
palt,大衣
soj,大豆
rabarb,大黄
astronomi,天ᴬ
anĝel,天使
aspart,天冬
nadir,天底
nandin,天竹
sfing,天蛾
zenit,天顶
cign,天鹅
centrosom,央体
desapont,失望
afazi,失语
aleksi,失读
staŭl,失速
pru,头ᴾ
cefal,头ᶜ
turban,头巾
cefalaspid,头甲
tini,头癣
skalp,头皮
cefalotorak,头胸
cefalospin,头脊
cefalopod,头足
aliteraci,头韵
bombast,夸ᴮ
sandviĉ,夹ˢ
born,夹ᴮ
ĉuk,夹头
splint,夹板
bizar,奇ᴮ
kurioz,奇ᴷ
mirakl,奇ᴹ
trofe,奖ᵀ
stereotip,套ˢ
ensembl,套ᴱ
gain,套ᴳ
laz,套ᴸ
muf,套ᴹ
vaginal,套ⱽ
vaginalit,套炎
galoŝ,套鞋
ginek,女ᴳ
nj,女ᴺ
feminism,女ᶠ
kontralt,女低
ginekologi,女学
feminist,女家
ligustr,女贞
puding,奶冻
stukaĉ,奸ˢ
adult,奸ᴬ
diletant,好ᴰ
hobi,好ᴴ
kosmetik,妆ᴷ
hetajr,妓ᴴ
meretric,妓ᴹ
bordel,妓院
fe,妖精
kompromis,妥协
komenc,始ᴷ
komisi,委ᴷ
mandat,委ᴹ
amom,姜ᴬ
eletari,姜ᴱ
galang,姜ᴳ
kurkum,姜ᴷ
miog,姜ᴹ
poz,姿ᴾ
prestiĝ,威望
nupt,婚ᴺ
medium,媒ᴹ
koket,媚ᴷ
lake,媚ᴸ
dot,嫁妆
greft,嫁接
atom,子ᴬ
meridian,子午
kotiledon,子叶
orific,孔ᴼ
pav,孔雀
koncip,孕ᴷ
alfabet,字ᴬ
grafem,字ᴳ
karaktr,字ᴷ
uskl,字ᵁ
bajt,字节
depon,存ᴰ
konserv,存ᴷ
prezerv,存ᴾ
ekzistencialist,存家
student,学ˢ
ik,学ᴵ
nomi,学ᴺ
universitat,学ᵁ
bakalaŭr,学士
log,学家
prefer,宁ᴾ
univers,宇ᵁ
kosmologi,宇学
kosmografi,宇志
kosmogoni,宇源
kosmonaŭt,宇航
kosmograf,宇记
neŭrolept,安神
makro,宏ᴹ
makrofag,宏吞
makrocefal,宏头
makrokosm,宏宇
makrometr,宏计
makropod,宏足
makroskop,宏镜
koncili,宗会
sinod,宗议
burokrat,官ᴮ
magistrat,官ᴹ
tribunus,官ᵀ
difin,定ᴰ
teorem,定理
trezor,宝ᵀ
cipre,宝贝
efektiv,实ᴱ
pragmat,实ᴾ
staĝ,实习
asiz,审ᴬ
cenzur,审ᶜ
inkvizici,审判
klient,客ᴷ
objektiv,客ᴼ
pasaĝer,客ᴾ
deklar,宣ᴰ
proklam,宣ᴾ
reklam,宣ᴿ
studi,室ˢ
kamer,室ᴷ
lokal,室ᴸ
ependim,室膜
ĝendarm,宪兵
uter,宫ᵁ
palatin,宫伯
uterit,宫炎
atenc,害ᴬ
banked,宴ᴮ
hejm,家ᴴ
famili,家ᶠ
kapacit,容ᴷ
konsign,寄ᴷ
parazit,寄生
kompakt,密ᴷ
densometri,密测
densometr,密计
oz,富ᴼ
eŭtrof,富养
fabl,寓ᶠ
oligo,寡ᴼ
oligark,寡头
oligoterapi,寡疗
oligoelement,寡素
jes,对ᴶ
opozici,对ᴼ
logaritm,对数
konvekt,对流
konfront,对质
klaft,寻ᴷ
direktor,导ᴰ
konduk,导ᴷ
mentor,导师
misil,导弹
reĝisor,导演
apanaĝ,封ᴬ
defens,封ᴰ
hermetik,封ᴴ
tenur,封ᵀ
feŭd,封ᶠ
aktin,射ᴬ
ejakul,射ᴱ
incid,射ᴵ
jekci,射ᴶ
katapult,射ᴷ
radi,射ᴿ
projekciator,射具
radiogram,射图
radiofon,射声
radiologi,射学
radiografi,射志
radiestez,射感
radioaktiv,射活
radioterapi,射疗
aktinomicet,射菌
radiometr,射计
radiograf,射记
radioskopi,射镜
baldaŭ,将ᴮ
general,将ᴳ
dign,尊ᴰ
minuskl,小ᴹ
trumpet,小号
cerebel,小脑
uvul,小舌
roman,小说
trot,小跑
minoritat,少数
apeks,尖ᴬ
kuspid,尖ᴷ
kriĉ,尖叫
ogiv,尖拱
empen,尾ᴱ
kulas,尾ᴷ
pis,尿ᴾ
urologi,尿学
urografi,尿志
ure,尿素
urinometr,尿计
uretr,尿道
urinoskopi,尿镜
stratus,层ˢ
tavol,层ᵀ
stratigrafi,层志
stratigraf,层记
ametrop,屈光
